number,study,date,authors,title,journal,year,topic_raw,topic,topic_description,measures,measures_order,stimClass_raw,stimClass,visualMoving,stimType,design,subComp,location,sleeping,study_description,brainRegions_raw,measures_raw,numberSegment_raw,numberSegments,durationSegment_raw,durationSegment,completedSegment,completedDuration,length,age_raw,age,ageRange_raw,ageRange,newborn,female,femaleProp,characteristics,preterm,groupType,inclusionCriteria,manufacturer,version,detectors,channels,recruited,excludedBaby,excludedSig,excludedExp,excludedOther,finalSample_raw,finalSample,includeOverall,includeReasons,attrition,attritionBaby,attritionSig,attritionExp
30,30,4/29/20,"Biondi, Marisa; Boas, David A.; Wilcox, Teresa",On the other hand: Increased cortical activation to human versus mechanical hands in infants,NeuroImage,2016,F,F,Cortical responses to human vs. mechanical hands performing functional vs. non-functional use of tools,A,A,B,V,moving,"I - Hands (human/mechanical), colored cups, nail box, rice box)",B,"A,C",lab,awake,"Infants saw alternating pound and pour trials (15 each), preceded by 10s baseline, content of stimulus videos varied by condition (human vs. mechanical hand performing functional vs. non-functional use of cups/tools - 2x2 design)","C,D",A,6,6,15,15,Not reported,Not reported ,90,249 days ,8.3,6 to 10,6 to 10,non-newborn,29,0.420289855,None,full-term,td,Not reported ,Custom-built,Not reported ,4,20,107,17,18,3,0,"69 (19 in human hand/function group, 16 in mechanical hand/function group, 16 in human hand/non-function group, 18 in mechanical hand/non-function group)",69,1,1,0.355140187,0.158878505,0.168224299,0.028037383
31,31,4/29/20,"Blanco, B.; Molnar, M.; Caballero-Gaudes, C.",Effect of prewhitening in resting-state functional near-infrared spectroscopy data,Neurophotonics,2018,H,H,Effects of prewhitening on rest-state functional connectivity,A,A,F,None,,H,C,"A,C",lab,sleeping,fNIRS recording while infants slept on caregivers' lap,"A,B,C,D ","C,D (Effect of prewhitening in resting-state functional near-infrared spectroscopy data)",1,1,Infinite,NA,Not reported,11 to 21 mins,NA,124.6 days,4.15,4,4,non-newborn,12,0.5,Spanish,full-term,td,healthy,NIRx,NIRScout,NA,NA,Not reported ,NA,Not reported ,Not reported ,Not reported,24,24,0,0,NA,NA,NA,NA
32,32,5/19/20,"Blasi, A.; Fox, S.; Everdell, N.; Volein, A.; Tucker, L.; Csibra, G.; Gibson, A. P.; Hebden, J. C.; Johnson, M. H.; Elwell, C. E.",Investigation of depth dependent changes in cerebral haemodynamics during face perception in infants,Physics in Medicine and Biology,2007,D,D,Hemodynamic response to faces versus visual noise,A,A,A,V,static,"A,F ",B,A,lab,awake,Cyclic loop until baby became inattentive: at least 10s cartoons + 10s face images (1 face per second) + at least 10s cartoons + 10s visual noise (1 image per second),C,A,Infinite ,NA,10,10,Not reported ,3 to 12 mins ,NA,126 days ,4.2,4,4,non-newborn,6,0.5,None ,full-term,td,healthy,Custom-built ,Not reported ,8,30,38,26,0,0,0,12,12,1,0,0.684210526,0.684210526,NA,NA
38,38,5/19/20,"Bortfeld, H.; Wruck, E.; Boas, D. A.",Assessing infants' cortical response to speech using near-infrared spectroscopy,NeuroImage,2007,"C,E ",C,Cortical response to linguistic+visual vs. only visual stimuli,A,A,"B,C",AV,moving,"D,F",A,A,lab,awake,4 blocks (20s visual animation + 10s baseline + 20s speech with visual animation + 10s baseline),"C,D",A,4,4,60,60,3.17,190.2,240,"7 months, 14 days",7.46,6 to 9,6 to 9,non-newborn,15,0.428571429,None ,full-term,td,Not reported ,Not reported ,Not reported ,4,8,40,2,3,0,0,35,35,1,1,0.125,0.05,0.075,NA
40,40,5/19/20,"Bouchon, C.; Nazzi, T.; Gervain, J.",Hemispheric asymmetries in repetition enhancement and suppression effects in the newborn brain,PLoS ONE,2015,C,C,Repetition enhancement vs. repetition suppression effects in newborn infants' cortical responses to speech processing,A,A,C,A,,D,A,A,hospital,sleeping,"24 blocks, 12 ABB artificial grammar, 12 ABC random control grammar (6 trisyllabic sequences, 0.9s each + 0.5 to 1.5s ISI, total block duration of 9.9 to 10.9s), fNIRS data collection while infants were sleeping","A,D",A ,24,24,9.9 to 10.9,10.4,Not reported ,14.6 mins ,249.6,1.8 days ,0.06,1 to 3 days ,Newborn,newborn,13,0.541666667,French ,full-term,td,"healthy, full-term newborns with French-speaking mothers",NIRx,NIRScout 816,10,24,47,11,10,2,0,24,24,1,1,0.489361702,0.234042553,0.212765957,0.042553191
41a,41,5/19/20,"Braukmann, Ricarda; Lloydäó_í‹íÈFox, Sarah; Blasi, Anna; Johnson, Mark H.; Bekkering, Harold; Buitelaar, Jan K.; Hunnius, Sabine",Diminished socially selective neural processing in 5äó_í‹íÈmonthäó_í‹íÈold infants at high familial risk of autism,European Journal of Neuroscience,2018,F,F,Cortical responses to social stimuli in infants with low vs. high risk for ASD diagnosis,A,A,B,V,moving,"A,E,I (toys/objects for non-social videos)",A,"A,C",lab,awake,"Blocks of social dynamic stimuli (8 to 10s) and non-social dynamic stimuli (8 to 10s), separated by baseline non-social static images (9 to 12s), experiment continued until infant became bored or showed signs of discomfort",D,A,Infinite ,NA,8 to 10 ,9,"8.86 social dynamic, 8.86 non-social dynamic, 16.55 baseline",159.48,NA,5.27 (low-risk group),5.27,4.63 to 6.51,4.63 to 6.51,non-newborn,4,0.307692308,None,full-term,td,"full-term, at least one typically developing older sibling and no family history of autis",UCL,Not reported ,10,26,16,1,1,1,0,13,13,1,1,0.1875,0.0625,0.0625,0.0625
41b,41,5/19/20,"Braukmann, Ricarda; Lloydäó_í‹íÈFox, Sarah; Blasi, Anna; Johnson, Mark H.; Bekkering, Harold; Buitelaar, Jan K.; Hunnius, Sabine",Diminished socially selective neural processing in 5äó_í‹íÈmonthäó_í‹íÈold infants at high familial risk of autism,European Journal of Neuroscience,2018,F,F,Cortical responses to social stimuli in infants with low vs. high risk for ASD diagnosis,A,A,B,V,moving,"A,E,I (toys/objects for non-social videos)",A,"A,C",lab,awake,"Blocks of social dynamic stimuli (8 to 10s) and non-social dynamic stimuli (8 to 10s), separated by baseline non-social static images (9 to 12s), experiment continued until infant became bored or showed signs of discomfort",D,A,Infinite ,NA,8 to 10 ,9,"8.86 social dynamic, 8.86 non-social dynamic, 16.55 baseline",159.48,NA,5.37 (high-risk group),5.37,4.63 to 6.51,4.63 to 6.51,non-newborn,9,0.5625,Familial risk for ASD,full-term,td_risk,"full-term, at least one older sibling with an ASD diagnosis",UCL,Not reported ,10,26,19,0,2,1,0,16,16,1,1,0.157894737,NA,0.105263158,0.052631579
42,42,5/19/20,"Bulgarelli, Chiara; Blasi, Anna; Arridge, Simon; Powell, Samuel; de Klerk, Carina C. J. M.; Southgate, Victoria; Brigadoi, Sabrina; Penny, William; Tak, Sungho; Hamilton, Antonia",Dynamic causal modelling on infant fNIRS data: A validation study on a simultaneously recorded fNIRS-fMRI dataset,NeuroImage,2018,I - Dynamic causal modelling (DCM),I - Dynamic causal modelling (DCM),Applying dynamic causal modeling (DCM) to infant fNIRS data,"A,E",A,C,A,,I - Vocal and nonvocal sounds,A,A,lab,sleeping,"24 blocks of vocal or environmental sounds (9s each), separated by 13s rest, collected from a single infant during natural sleep","A,B,D","A,B",24,24,9,9,24,216,216,183 days ,6.01,183 days ,6.01,non-newborn,Not reported ,NA,None ,full-term,td,Not reported ,UCL,Not reported ,4,9,1,0,0,0,0,1,1,1,1,0,NA,NA,NA
43a,43,5/20/20,"Bulgarelli, Chiara; Blasi, Anna; de Klerk, Carina C. J. M.; Richards, John E.; Hamilton, Antonia; Southgate, Victoria",Fronto-temporoparietal connectivity and self-awareness in 18-month-olds: A resting state fnirs study,Developmental Cognitive Neuroscience,2019,"F,H",F,Relationship between resting state fronto-temporo-parietal connectivity and self-awareness,"A,B",B,F,None,,H,C ,"A,C",lab,awake,"After behavioral testing to group toddlers as recognizers or non-recognizers, resting state fNIRS data was collected while participants looked at screen with colorful bubbles and heard relaxing music (not considered stimuli)","A,B,D",C,1,1,Not reported ,NA,1,Not reported ,NA,"552.75 days (555.44 days for recognizer group, 550.54 days for non-recognizer group)",18.42,"534 to 571 days (recognizer group), 527 to 568 (non-recognizer group)",17.33 to 18.77,non-newborn,20,0.5,None ,full-term,td,"healthy, full-term, normal birthweight",UCL,Not reported ,NA,NA,95,46,6,0,3 (ambiguous behavioral response),"40 (18 in recognizer group, 22 in non-recognizer group)",40,1,1,0.565217391,0.5,0.065217391,NA
44a,44,5/20/20,"Bulgarelli, Chiara; Klerk, Carina C. J. M.; Richards, John E.; Southgate, Victoria; Hamilton, Antonia; Blasi, Anna",The developmental trajectory of frontoäó_í‹íÈtemporoparietal connectivity as a proxy of the default mode network: A longitudinal fnirs investigation,Human Brain Mapping,2020,H,H,Using fNIRS to measure functional connectivity in awake infants,A,A,F,None,,H,C ,B,lab,awake,"Resting state fNIRS data was collected while participants looked at screen with colorful bubbles and heard relaxing music (not considered stimuli), experiment continued until participants became fussy or reached 6min of data collection","A,B,D ",C,1,1,360,360,1,Not reported ,360,342.72 days (session 1),11.27,"11 to 36 (longitudinal study with data collection at 11, 18, 24, 30, and 36 months)",11,non-newborn,5,0.454545455,None ,full-term,td,"healthy, full-term, normal birthweight",UCL,Not reported ,12,30,46,30,5,0,0,11,11,1,1,0.760869565,0.652173913,0.108695652,NA
44b,44,5/20/20,"Bulgarelli, Chiara; Klerk, Carina C. J. M.; Richards, John E.; Southgate, Victoria; Hamilton, Antonia; Blasi, Anna",The developmental trajectory of frontoäó_í‹íÈtemporoparietal connectivity as a proxy of the default mode network: A longitudinal fnirs investigation,Human Brain Mapping,2020,H,H,Using fNIRS to measure functional connectivity in awake infants,A,A,F,None,,H,C ,B,lab,awake,"Resting state fNIRS data was collected while participants looked at screen with colorful bubbles and heard relaxing music (not considered stimuli), experiment continued until participants became fussy or reached 6min of data collection","A,B,D ",C,1,1,360,360,1,Not reported ,360,554.73 days (session 2),18.23,"11 to 36 (longitudinal study with data collection at 11, 18, 24, 30, and 36 months)",18,non-newborn,11,0.523809524,None ,full-term,td,"healthy, full-term, normal birthweight",UCL,Not reported ,12,30,48,22,5,0,0,21,21,1,1,0.5625,0.458333333,0.104166667,NA
46,46,5/20/20,"Carlsson, Jakob; Lagercrantz, Hugo; Olson, Linus; Printz, Gordana; Bartocci, Marco",Activation of the right fronto-temporal cortex during maternal facial recognition in young infants,Acta Paediatrica,2008,F,F,Cortical activation when viewing mother's face vs. unfamiliar face,A,A,A,V,static,A,B,"A,C",lab,awake,"Presentation of mother's face and unfamiliar face (counterbalanced order: group A=mother's face first, group B=unfamiliar face first), each block preceded by baseline gray screen","A,C,D",A,2,2,Not reported ,NA,Not reported ,Not reported ,NA,"212 days (223 for group A, 205 for group B)",7.07,162 to 288 days,5.4 to 9.6,non-newborn,"9 (4 in group A, 5 in group B)",0.473684211,Swedish ,full-term,td,"healthy, full-term (36 to 43 weeks gestation), normal neurological status, uncomplicated delivery/postnatal period",Hamamatsu,NIRO 300,2,2,27,0,0,8,0,"19 (8 in group A, 11 in group B)",19,1,1,0.296296296,NA,NA,0.296296296
47a,47,Did not report attrition,"Chen, S.; Sakatani, K.; Lichty, W.; Ning, P.; Zhao, S.; Zuo, H.",Auditory-evoked cerebral oxygenation changes in hypoxic-ischemic encephalopathy of newborn infants monitored by near infrared spectroscopy,Early Hum Dev,2002,C,C,Frontal cortex responses to auditory stimulation in newborns with and without hypoxic-ischemic encephalopathy,A,A,C,A,,I - Piano music,A,C,hospital,awake,"Newborns tested while lying in their cribs, 10min baseline + 10min auditory stimulation (piano music presented through earphones)",A,A,1,1,10 min,600,1,Not reported ,600,3 days (normal group),0.1,1 to 3 days ,Newborn,newborn,11,0.55,Chinese,full-term,td,no congenital abnormalities,Hamamatsu,NIRO 500,NA,NA,Not reported ,NA,Not reported,Not reported,Not reported,20,20,0,0,NA,NA,NA,NA
47b,47,Did not report attrition,"Chen, S.; Sakatani, K.; Lichty, W.; Ning, P.; Zhao, S.; Zuo, H.",Auditory-evoked cerebral oxygenation changes in hypoxic-ischemic encephalopathy of newborn infants monitored by near infrared spectroscopy,Early Hum Dev,2002,C,C,Frontal cortex responses to auditory stimulation in newborns with and without hypoxic-ischemic encephalopathy,A,A,C,A,,I - Piano music,A,C,hospital,awake,"Newborns tested while lying in their cribs, 10min baseline + 10min auditory stimulation (piano music presented through earphones)",A,A,1,1,10 min,600,1,Not reported ,600,"2 days (mild HIE group), 2 days (moderate HIE group), 3 days (severe HIE group)",0.066666667,1 to 3 days ,Newborn,newborn,9,0.409090909,"Hypoxic-ischemic encephalopathy (HIE), Chinese",full-term,clinical,no congenital abnormalities,Hamamatsu,NIRO 500,NA,NA,Not reported ,NA,Not reported,Not reported,Not reported,22,22,0,0,NA,NA,NA,NA
48,48,5/20/20,"Cristia, A.; Minagawa, Y.; Dupoux, E.",Responses to vocalizations and auditory controls in the human newborn brain,PLoS ONE,2014,C,C,Cortical responses to human and non-human vocalizations in newborn infants,A,A,C,A,,"D, I - Human emotional vocalizations, macaque calls, scrambled stimuli)",A,A,hospital,awake,"One session consisted of 20 blocks of 9-12 auditory stimulus presentations of one type (native speech, non-native speech, human emotional vocalizations, macaque calls, or scrambled stimuli) lasting approximately 7min, maximum of 3 sessions presented consecutively","A,B,D",A,3,3,~7mins ,420,~1.95 ,~13.65 mins,1260,2 days ,0.066666667,0 to 6 days ,Newborn,newborn,19,0.475,French ,full-term,td,Not reported ,UCL ,Not reported ,16,28,49,9,0,0,0,40,40,1,1,0.183673469,0.183673469,NA,NA
49a,49,5/20/20,"Cristia, Alejandrina; Minagawaäó_í‹íÈKawai, Yasuyo; Egorova, Natalia; Gervain, Judit; Filippin, Luca; Cabrol, Dominique; Dupoux, Emmanuel",Neural correlates of infant accent discrimination: An fNIRS study,Developmental Science,2014,C,C,Neural correlates of regional accent discrimination,A,A,"B,C",AV,moving,"A,D",A,"A,D",lab,awake,5 sets of 4 blocks; each block (14.3s on average) contained 4 videos of 2 speakers using same or different regional accent of French,"A,D",A,20,20,14.3,14.3,Not reported ,Not reported ,286,"3 months, 21 days (3mo group)",3.7,3:9 to 4:3 (3m),3.3 to 4.1,non-newborn,20,0.952380952,French ,full-term,td,"healthy, full-term, monolingual French, no developmental/language/hearing problems",UCL ,Not reported ,8,14,30,6,0,0,0,24,21,1,1,0.3,0.2,NA,NA
49b,49,5/20/20,"Cristia, Alejandrina; Minagawaäó_í‹íÈKawai, Yasuyo; Egorova, Natalia; Gervain, Judit; Filippin, Luca; Cabrol, Dominique; Dupoux, Emmanuel",Neural correlates of infant accent discrimination: An fNIRS study,Developmental Science,2014,C,C,Neural correlates of regional accent discrimination,A,A,"B,C",AV,moving,"A,D",A,"A,D",lab,awake,5 sets of 4 blocks; each block (14.3s on average) contained 4 videos of 2 speakers using same or different regional accent of French,"A,D",A,20,20,14.3,14.3,Not reported ,Not reported ,286,"5 months, 6days (5mo group)",5.19,4:24 to 5:18 (5m),4.8 to 5.6,non-newborn,14,0.666666667,French ,full-term,td,"healthy, full-term, monolingual French, no developmental/language/hearing problems",UCL ,Not reported ,8,14,31,8,0,0,0,23,21,1,1,0.322580645,0.258064516,NA,NA
50,50,6/30/20,"Csibra, G.; Henty, J.; Volein, äš_íƒ.; Elwell, C.; Tucker, L.; Meek, J.; Johnson, M. H.",Near infrared spectroscopy reveals neural activation during face perception in infants and adults,Journal of Pediatric Neurology,2004,"F,D",F,Cortical responses to faces vs. visual noise in infants vs. adults,A,A,A,V,static,"A,I (visual noise)",B,"A,D",lab,awake,"Alternating trial design (10s each) in 2 conditons (faces vs. visual noise), 10 images presented per trial (800ms each + 200s ISI), trials separated by at least 10s ITI with short cartoon animations, adults saw 50 trials and infants watched for as long as they were willing to cooperate without much movement","A,C",A,Infinite,NA,8,8,Not reported ,Not reported ,NA,132 days ,4.34,4,4,non-newborn,6,0.545454545,UK,full-term,td,healthy,Hamamatsu,NIRO 300,1,2,26,0,15,0,0,11,11,1,1,0.576923077,NA,0.576923077,NA
51,51,5/20/20,"de Klerk, Carina C. J. M.; Bulgarelli, Chiara; Hamilton, Antonia; Southgate, Victoria",Selective facial mimicry of native over foreign speakers in preverbal infants,Journal of Experimental Child Psychology,2019,"F,C",F,Neural correlates of differential mimicry responses to native vs. non-native speakers in preverbal infants,"A,F (EMG - electromyography)",A,"B,C",AV,moving,"A,D",B,A,lab,awake,"12 facial action trials (6 native, 6 non-native), lasting 10s each (1000ms baseline + 3 repetitions of facial action (3000ms each))","A,B,D",A,12,12,10,10,10,100,120,342 days,11.24,11 (310 to 375 days),10.19 to 12.32,non-newborn,9,0.36,None,full-term,td,"healthy, full-term, normal birthweight, limited exposure to Italian, no family history of ASD",UCL,Not reported ,12,30,55,26,0,2,0,25,25,1,1,0.545454546,0.472727273,NA,0.036363636
52,52,5/23/20,"de Klerk, Ccjm; Hamilton, A. F. C.; Southgate, V.",Eye contact modulates facial mimicry in 4-month-old infants: An EMG and fNIRS study,Cortex,2018,"F,C",F,Effect of eye contact on infant's facial mimicry,"A,F (EMG - electromyography)",B,B,V,moving,"A,E",B,A,lab,awake,"~20 mimicry trials (face action or hand action, 10s each - 1000ms baseline + 3 repetitions of action (3000ms each))",D,A,25,25,10,10,21.8,218,250,120 days ,3.94,4 (104 to 141 days),3.41 to 4.63,non-newborn,12,0.387096774,None ,full-term,td,"healthy, full-term, normal birthweight",UCL,Not reported ,NA,26,60,20,6,3,0,31,31,1,1,0.483333333,0.333333333,0.1,0.05
